id,autor,titulo,editorial,anio,clasificacion
3622,"Michel, G.",Aprende a aprender guía de autoeducación,Trillas,1974,LB1051 M51 1974
3623,"Rangel Hinojosa, M.",Comunicación oral,Trillas,1979,PN4130 R34 1979
3624,"Taboada Ibarra, E. L. (coord.)",Hacia una nueva teoría de la empresa: Elementos desde la economía institucional contemporánea,UNAM,2007,HG4026 H33 2007
3625,"Rosas, M. C.",La economía internacional en el siglo XXI: OMC Estados Unidos y América Latina,"UNAM, Facultad de
Ciencias Políticas y Sociales",2001,HF1418.5 R67 2001
3626,"Lirola Terrez, A.",Microsoft word 6 para windows paso a paso,"McGraw-
Hill/Interamericana",1994,Z52.5M523 L55 1994
3627,"Río González, C. del",Técnica presupuestal,UNAM,,HJ2005 R55 1980
3628,"E. Gilbert, N.",Electricity and magnetism: Theory and applications (Electricidad y magnetismo: Teoria y aplicaciones),Macmillan,1950,QC518 G54 1950
3629,"Distefano, J. J., A. R. Stubberud & I. J. Williams",Retroalimentación y sistemas de control,McGraw-Hill,1992,TJ216 D57 1992
3630,"Livingstone, J. L. & S. C. Gunn","Accounting for social goals: Budgeting and analysis of
nonmarket projects",Harper & Row,1974,HF5657 L57 1974
3631,"Masters, W. H. & V. E. Johnson",Homosexualidad en perspectiva,Intermédica,1979,HQ76.25 M37 1979
3632,"Clausse, A.",Iniciación en las ciencias de la educación,Kapelusz,1970,LB17 C538 1970
3633,"Bolles, R. C.",Learning theory (Teoría del aprendizaje),Holt,1975,LB1051 B628 1975
3634,"Brown, W. F.","A guide to college survival (Guía para la supervivencia de
la universidad)",Prentice Hall,1972,LB3605 B75 1972
3635,"LeRoy Miller, R. & R. W. Pulsinelli",Moneda y banca,McGraw-Hill,1992,HG221 M5818 1992
3636,"Pacheco, J. E.",Las batallas en el desierto,SEP,2011,PQ7297 P21 2011
3637,"Norbeck, E. F. (coord.)",Auditoria administrativa,Técnica,1978,HF5667 N66 1978
3638,"B. Meigs, W.",Principios de auditoria,Diana,1980,HF5667 M435 1980
3639,"Call, S. T & W. L. Holahan",Microeconomía,IBEROAMERICANA,1985,HB172 C34 1985
3640,"B. Clapp, L.","Chemistry of the covalent bond (Química del enlace
covalente)",W. H. Freeman,1950,QD453 C58 1950
3641,"Cuturi, F. G.",Nüeteran ikoots naw San Mateo del Mar: Ngineay majaraw arangüch nüeteran (Comida ikoots de San Mateo del Mar: Conocimiento y preparación),Instituto Nacional de Lenguas Indégenas,2009,F1221.H85 C87 2009
3642,"Wiberg, K. B.",Physical organic chemistry (Química orgánica física),John Wiley & Sons,1964,QD476 W53 1964
3643,"Moeller, T.",Inorganic Chemistry an advanced textbook (Química Inorgánica un libro de texto avanzado),John Wiley & Sons,1961,QD151 M64 1961
3644,"Nejat Veziroglu, T.","Hydrogen energy Volume 2 (La energía del hidrógeno
V.II)",Plenum Press,1975,TP360.H94 CUTTER 1974
3645,"Weast, R. C.","Handbook of Chemistry and Physics (Manual de Química
y Física)",Chemical Rubber,1964,QD65 C72 1974
3646,"Barker, J. A.",The international encyclopedia of physical chemistry and chemical physics Volume 1. Lattice theories of the liquid state (La enciclopedia internacional de la química física y la física química V. I Teorías del enrejado del estado líquido),Pergamon Press,1963,QA171.5 B36
3647,"Eliel, E. L.","Stereochemistry of carbon compounds (Estereoquímica
de compuestos de carbono)",McGraw-Hill,1962,QD481 E4 1962
