id,autor,titulo,editorial,anio,clasificacion
1253,HENRY J. COWAN,Diseño de estructuras de concreto reforzado,"Cecsa, 1993",1993,TA683.2 C6918 1993
1254,Instituto Mexicano del Cemento y del concreto,Lechadas cementantes e inyección de lechada,Instituto Mexicano del Cemento y del concreto,1999,TA434 K6718 1999
1255,"TAYLOR, Lance",Microeconomia estructuralista,Trillas 1989,1989,HC59.7 T35 1989
1256,"Covey, F.",Los 7 hábitos de la gente altamente efectiva,Paidós,1997,BF637 .S8 C6818 1997
1257,"GRECH, Pablo","Introducción a la ingeneria: un enfoque a través del
diseño",Prentice Hall,2001,TA174 .G73  2001
1258,"ZARCO RUBIO, Esther",Seguridad en laboratorios: prevención de accidentes y primeros auxilios en laboratorios químicos,Trillas,1998,QD51 Z37 1998
1259,,Ley Federal del Trabajo: y reglamentos conexos,"Compañía Editorial
Impresora y distribuidora",2007,HD7841 A3 2007
1260,"Comboni, S. y J. M. Juárez",Introducción a las tecnicas de investigación,Trillas,1999,QA180 A1C35 1999
1261,"ALCAIDE MARZAL, Jorge",Diseño de producto: métodos y técnicas,Alfaomega,2004,TS170 A53 2004
1262,"OSTROSKY SOLIS, Feggy","¡Toc, toc! ¿Hay alguién ahí?",Infored,2001,153 O8T6 2001
1263,"Wackerly, D. D., W. Mendenhall III & R. L. Scheaffer",Estadística matemática con aplicaciones,Iberoamérica,1986,QA276 M3818 1986
1264,"THOMPSON, Merita L.",Creceremos sin drogas,Prentice Hall,2000,HV5824 .C45C7418 2000
1265,Gobierno   del   Estado   de   México.   Secretaría   de Administración,Guía   técnica   para   la   elaboración   de   manuales   de procedimientos,Gobierno  del  Estado  de México.     Secretaría     de Administración,1997,HF5547.5 G4673 1997
1266,Departamento de Estado de los Estados Unidos,"Drogas, datos y cifras",Departamento de Estado de los Estados Unidos,[2000],HV5801 D48 2000
1267,Colegio Nacional de Bachilleres,Word 97,"Colegio      Nacional      de
Bachilleres",1997,Z52.5 M523 W74 1977
1268,"CADENA INOSTROZA, Cecilia",Administración pública y procesos políticos en México,Librería de Porrúa Hermanos y Compañía y Compañía,2005,JL1231 C34 2005
1269,"SCHEIN, Edgar",Psicologia de la Organización,Prentice Hall,1982,HF5548.8 S24 1982
1270,"BECERRIL L., Diego  Onésimo",Instalaciones eléctricas prácticas,"Ing. Becerril L. Diego
Onésimo",[200-?],TK3201 B42  2006
1271,"Rubio Ragazzoni, V. M. y J. Hernández Fuentes",Guía práctica de Auditoría Administrativa,PACJ,2006,HF5667 R82 2006
1272,"SANTILLANA GONZÁLEZ, Juan Ramón",Auditoria interna integral,Thomson,2002,HF5667 S36 2002
1273,"MATEOS MUÑOZ, Agustín",Compendio de etimologías grecolotinas  del español,Esfinge,2005,PC4571 M37 2005
1274,"Mott, R.",Diseño de elementos de máquinas,Pearson Educación,2006,TJ230 M6718 2006
1275,"Cathey, J. J.",Máquinas eléctricas: Análisis y diseño aplicando Matlab,"McGraw-
Hill/Interamericana",2002,TK2182 C3718 2002
1276,"Wildi, T.",Máquinas electricas y sistemas de potencia,Pearson Educación,2007,TK145 W53  2007
1277,"GIESECKE, Frederick E.",Dibujo y comunicación gráfica,Pearson educación,2006,T353 M6318 2006
1278,"BENAVIDES PAÑEDA, Javier",Admistraciòn,Mc. Graw Hil,2004,HD30.4 B45 2004
1279,Academia Nacional de Relaciones publicas,Las relaciones públicas en el siglo XXI,EDAMEX,2001,HM1221 R45 2001
1280,"TERRY, George",Pricnipio de administración,CECSA,1985,HF5500 T4818 1985
1281,"Leithold, L.",El cálculo,OXFORD,1998,QA303 L43618 1998
1282,"Chiavenato, I.",Administración en los nuevos tiempos,Mc Graw Hill,1999,HF5500 C44418 1999
1283,JOSE LUIS GARCIA SALAZAR,"CREATIVIDAD , LA INGENIERIA DEL PENSAMIENTO",Trillas,,BF408 G36 2002
1284,"BARNETT, Raymond A.",Precalculo: funciones y graficas,MC GRAW HILL,1999,QA331.3 B38 1999
1285,"ROMERO, Javier",Contabilidad superior,MC GRAW HILL,,HF5681.B2 R654 2004
1286,"García Alonso, L.",Ética o filosofía moral,Trillas,2006,BJ1143 G37 2006
1287,"Sánchez Vázquez, A.",ÉTICA,"Tratados y manuales
Grijalbo",2004,BJ1142 S355 2004
1288,"ÁVILA MARCUÉ, Felipe",Estrategias de promocion en comercio exterior,Trillas,1997,HF1408 A85  1997
1289,"Río González, C. del",El Presupuesto,Thomson,2003,HJ2005 R54 2003
1290,"HAASER, Norman",Análisis  matemático 2: curso intermedio,Trillas,1990,QA300 H322 1990 V.2
1291,"A. COONRADT, Charles.            NELSON Lee.",El trabajo como deporte,Trillas,2000,HF5549.5.M63C6618 2000
1292,LAUFER Romain PARADEISE Catherine,El principe burócrata,Trillas,1988,JF2112.P6 L3818 1988
1293,"BARANDIARÁN, Rafael",Diccionario de términos financieros,Trillas,2000,HG151 B37 2000
1294,"MUÑOZ RAZO, Carlos",Como elaborar y asesorar una Investigación de Tesis,Prentice Hall,1998,LB2369 M84 1998
1295,"SIERRA MOLINA, Guillermo","Sistemas expertos en contabilidad y administraciòn de
empresas",RA-MA,1995,HF5679 S57 1995
1296,"KRAR Steve, CHECK, Albert",Tecnología de las máquinas Herramienta,Alfaomega,2002,TJ1185 K69518 2002
1297,"MARGÁIN MANAUTOU, Emilio","Introducción al estudio del derecho administrativo
mexicano",PORRUA,2004,KFG320 M364 2004
1298,"Frager, R. y J. Fadiman",Teorías de la Personalidad,Alfaomega,2001,BF698 F3318 2001
1299,"Lemus Raya, P. y J. M. Vargas Menchaca",Introducción al Derecho: Elementos básicos,Pearson Educación,2006,KGF327 L45 2006
1300,"HERNÁNDEZ HERNÁNDEZ, Abraham",Formulación y evaluación de proyectos de inversión,International Thomson,2005,HG4529 H47 2005
1301,"Omura, G.",Biblia de autocad 2006,Anaya Multimedia,,T385 O585618 2006
1302,"ESCOBAR VALENZUELA, Gustavo",ÉTICA  Problemática e historia,Mc. Graw Hill,2004,BJ75 E82 2000
1303,"LASTY BALSEIRO, Almario",Principios de administración,Librería Acuario,1989,RT89 B287 1989
1304,"GUERRERO, Omar",Administración Pública del Estado Capitalista,Colección  Fontamara,2002,HD39 .G83 2002
1305,"Bojórquez Cervantes, M. E.",Ley federal sobre metrologia y Normalización,Sista,1991,T59.2M4 B65 1991
1306,"Furnham, A.",Psicología Organizacional,Alfaomega,2001,HF6648.8 F8718 2001
1307,"ALVAREZ TORRES, Martin G","Manual para elaborar manuales de políticas y
procedimientos",Panorama,1996,HD38.15 A48 1996
1308,"ANGENAULT, JACQUES",Diccionario enciclopedico de Química,Cecsa,2005,QD5 A5418 2005
1309,"EYSSAUTIER DE LA MORA, Maurice",Metodología de la Investigación,Thomson,2006,Q180.55M4 E97 2006
1310,"QUIROGA LEOS, Gustavo",Organización y Métodos en la Administración Pública,Trillas,1988,JF1355 Q85 2002
1311,"Hernández Y Rodríguez, S. J.","Administración: pensamiento , proceso, estrategia y
vanduardia",Mc. Graw Hil,2006,HD30.42M49 H47 2002
1312,"MALHOTRA, Narres K.",Investigación de mercados: un enfoque práctico,Pearson educación,2004,HF5415.3M3518 2004
1313,"ONTORIA, Antonio.","Cómo ordenar el conocimiento  usando mapas
conceptuales",Alfaomega,2004,B165 O573 2004
1314,"HUGHES HALLET, Glason, FLATH, Lock.",Calculo aplicado,Cecsa,2004,QA303 A6518 2004
1315,"Boylestad, R. L.y L. Nashelsky","Electronica.Teoría de circuitos  y dispositivos
electronicos",Prentice Hall,2003,TK7867 B64  2003
1316,"Boylestad, R. L.y L. Nashelsky",Fundamentos de electrónica,Prentice Hall,1997,TK7867 B6418 1997
1317,"Pérez Moreno, R.",Análisis  de mecanismos y problemas resuleltos,Alfaomega,2006,TJ181 P47 2006
1318,"Oakland, J. S. y L. J. Porter",Administración por Calidad Total,CECSA,2004,HD62.15 O3418 2004
1319,"HEGEWISCH, DIAZ INFANTE FERNANDO",Derecho Financiero Mexicano,Porrúa,1997,KGF4550 H44 1997
1320,"J. Tena, F. de",Derecho Mercantil Mexicano,Porrúa,2003,HF1281 T4 2003
1321,"ZARZAR CHARUR, Carlos",La evaluación del proceso de aprendizaje,Patria Cultural,2005,LB2822.75 Z37  2005
1322,"KUBR, Milan","La consultoría de empresas, Guia para la profesión",Limusa,2006,HD69.C6 C66 2006
1323,"Ibañez Carrasco, P. & G. García Torres G.",Matemáticas 1 Aritmética y Algebra,THOMSON,2006,QA157 I33 2006
1324,"IBAÑEZ CARRASCO, Patricia, GARCIA TORRES,
Gerardo",Matemáticas 3. Geometria analítica,Thomson,2006,QA555 I33 2006
1325,"Landy, F. J. y J. M. Conte","Psicología Industrial: Introducción a la psicología
industrial y organizacional",Mc Graw Hill,2005,HF5548.8 L3418 2005
1326,"IBAÑEZ CARRASCO, Patricia, GARCIA TORRES,
Gerardo",Matemáticas 4 : Precálculo,Thomson,2006,QA331.3 I33 2006
1327,"Shackelford, J. F.",Introducción a la ciencia de materiales para ingenieros,Pearson Educación,2005,TA403 S42 2005
1328,"PEREZ CHAVEZ, Jose, [et. al]",Taller de prácticas laborales y seguridad social,TAX Editores unidos,2006,KGF1789 P47 2006
1329,"Zepeda C., S.","Manual de instalaciones hidráulicas, sanitarias, gas,  aire
comprimido, y vapor.",Limusa,2006,TH6725 Z46 2006
1330,"HUHEEY,James, KEITR Ellen, Keiter Richar",Quimica orgánica principios de estructura y reactividad,Oxford,1997,QD151.2 H83 1997
1331,LEVINE Ira. N,Química Cuántica,Pearson Educación,2001,QD462 L472 2001
1332,"Rubinson, J. F. y K. A. Rubinson",Química analítica contemporánea,Pearson Educación,2000,QD75.2 R7918 2000
1333,"Reyner-Canham, G.",Quimica Inorganica descriptiva,Pearson Educación,2000,QD151.5 R3918 2000
1334,"CRUZ GARRITZ, Diana , CHAMIZO José GARRITZ
Andoni.",Estructura Atómica Un enfoque químico,Pearson Educación,2002,QD461 C78 2002
1335,"Casabó i Gispert, J.",Estructura atómica y enlace químico,REVERTE,1996,QD471 C37 1996
1336,"MALONEY, Timoth J.",Electrónica industrial moderna,Pearson Educación,2006,TK7881 M3418  2006
1337,,Biblioteca del Ingeniero Químico,Mc Graw Hill,1988,TP155 P4 1988 T.1
1338,,Biblioteca del Ingeniero Químico,Mc Graw Hill,1988,TP155 P4 1988 T.2
1339,,Biblioteca del Ingeniero Químico,Mc Graw Hill,1988,TP155 P4 1988 T.3
1340,,Biblioteca del Ingeniero Químico,Mc Graw Hill,1988,TP155 P4 1988 T.4
1341,,Biblioteca del Ingeniero Químico,Mc Graw Hill,1988,TP155 P4 1988 T.5
1342,,Biblioteca del Ingeniero Químico,Mc Graw Hill,1988,TP155 P4 1988 T.6
1343,"MAUBERTH,",Comercio internacional,Trillas,"1998,
reimp. 2001",HF3237 M38 1983
1344,"Harvey, D.",Química análitica moderna,"Mc Graw
Hill/Interamericana",2002,QD75.22 H3718 2002
1345,"HARRIS, D. C.",Análisis Químico Cuantitativos,REVERTE,2001,QD101.2 H3718 2001
1346,"Day, R. A. y A. L. Underwood",Quimica analitica cuantitativa,Pearson Educación,1989,QD101.2 D3818 1989
1347,"GRIMALDI, John SIMONDS Rollin",La seguridad Industrial  su administración,Alfaomega,2006,HD7262 G7418 1996
1348,"CUATRECASAS, Luis",TPM  Total productive  maintenance,Gestión 2000,2000,TS155 CUTER 1996
1349,"CHARTE OJEDA, Francisco",Introducción a la programación,Anaya Multimedia,2005,QA76.6 C425 2005
1350,"IBAÑEZ CARRASCO, Patricia, GARCIA TORRES,
Gerardo",Matemáticas 2 Geometría y Trigonometría,Thomson,2006,QA461 I33 2006
1351,"GRANERO, Francisco",Cálculo integral y aplicaciones,PEARSON EDUCACIÓN,2001,QA308 G73 2001
1352,"FERNANDEZ COLLADO, C.",La comunicación en las organizaciónes,Trillas,2002,HD30.C64 2002
1353,"DEPPERT, W.",Dispositivos neumáticos,Alfaomega,2001,TJ219 D46 2001
1354,"DALE KENNEDY, RALPH",Estados Financieros: forma análisis e interpretación,Limusa,2005,HF5681 K415 2005
1355,"perez tamayo, Ruy",Articulos de divulgacion,Colegio Nacional de Méx.,1999,Q162 P47 1999
1356,"CORONADO MALDONADO, Margarito","Triz, la metodología más moderna para inventar o innovar tecnologicamente de manera sistemática",Panorama,2005,T173.8 C67 2005
1357,PEREZ TAMAYO Ruy,Textos no tecnicos sobre ciencia,Colegio Nacional de Méx.,2004,Q127.M4 P475 2004
1358,"FERNANDEZ ÁRENA, José Antonio",La auditoria Administrativa,Diana,1992,HF5667 F4 1992
1359,"RODRÍGUEZ VALENCIA, Joaquín",Cómo aplicar la planeación estratégica,Ecafsa,2001,HD30.28 .R62 2001
1360,"VIVES, Antonio",Evaluación financiera de empresas,Trillas,2003,HG4028.V3 V58  2003
1361,"SERRANO, Rafael",La organización habitable,SYG,2001,HD37.E7 S47 2001
1362,"MONTANA, Patrick J.",Administración,CECSA,2005,HD31 M66218 2005
1363,"JARA, Joan","Víctor Jara, un canto truncado",Ediciones B,1999,ML410.J376 J3718 1999
1364,"RAMIREZ GOMEZ,Lepoldo",Química 1.  La quimica,"El autor,",,QD31.2 R36
1365,"RAMIREZ GOMEZ,Lepoldo",Química 2. La quimica de la cuatificación y del carbono,"El autor,",,QD31.3 L3667
1366,"ESPRIELLA, Andres , RAMIREZ , Leopoldo",Química Organica,"El autor,",,QD251.2 O7218
1367,"Dumrauf, G. L.",Finanzas Cooporativas,Alfaomega,2006,HG4026 D86 2006
1368,"MINERVINI, Nicola",La ingeniería de la exportación. Manual del exportador,Mc Graw Hill,2004,HF1416 M55 2004
1369,"CAROT ALONSO, Vicente",Control estadistico de calidad,Alfaomega,2001,TJ156 C37 2001
1370,"ACHA, Santiago. [ et. Al]","Electrónica Digital: Lógica digital integrada. Teoría,
problemas y simulación",Alfaomega,2007,TK7868.D5 E54 2007
1371,"STEWART, James",Cálculo,Thomson,1998,QA303 S7418 1998
1372,"Vable, M.",Mecánica de materiales,Alfaomega,2003,TA405 V2518 2003
1373,Instituto Politécnico Nacional,"Evaluación de los aprendizajes: guía de elaboración de
pruebas y reactivos","Instituto Politécnico
Nacional",[199-?],LB3051 B65 2006
1374,,Biología Manual de experimentación,"Representaciones
químicas de toluca",,QH317 B56
1375,"DEL RIO GONZALEZ, Cristobal.","Costos II Predeterminado, de operación y costo variable",Thomson,2004,HF5686.C8 R52 2004
1376,ASPEL,Sistema de Contabilida Integral,ASPEL,2005,HF5548.4 M527 S57 2005
1377,ASPEL,Sistema de Administración  Empresarial,ASPEL,2005,HF5548.5 A8 S3 2005
1378,"ETTINGER, Richard. ( et.al.)",Crédito y Cobranzas,Cecsa,2003,HF5566 E87 2003
1379,"CASTELLAN,  Gilbert",Fisicoquimica,Addison Wesley,,QD453.2 C3818 1998
1380,"Levine, I. N.",Fisicoquimica Vol.1,"McGraw-
Hill/Interamericana",2004,QD453.2 L47 2004 V.1
1381,"Levine, I. N.",Fisicoquímica Vol. 2,Mc Graw Hill,2004,QD453.2 L47 2004 V.2
1382,"Norton, R. L.","Diseño de maquinaria. Síntesis y análisis de máquinas y
mecanismos",Mc Graw Hill.,2005,TJ230 N6718 2005
1383,"TROUT, Jack",Posicionamiento la batalla por su mente,Mc Graw Hill,2002,HF5827.2 R54318 2002
1384,,Manual de experimentos de biologia,,,QH317 B798 1970
1385,ISEF,Fiscoagenda 2018,ISEF,2018,KGF4624 I745  2018
1386,"GOMEZJARA, Francisco",Sociologia,Porrúa,2006,HM61 .G65 2006
1387,"SCHAEFER, Richard T.",Introducción a la Sociología,Mc Graw Hill,2006,HM51 .S3218 2006
1388,"CHINER DASI, Mercedes",Laboratorio de ergonomía,Alfaomega,,TA166 C45 2004
1389,"GOMEZ-SENENT MARTINEZ, Eliseo",El proyecto  diseño de ingenieria,Alfaomega,2001,T56.8P76 2001
1390,"GUTIERREZ S, Ferney Eduardo",Autocard 2007 2 y 3 dimensiones,Alfaomega,2007,T385 G87 2007
1391,"Hibbeler, R.",Mechanics of materials,Prnetice Hall,2000,TA405 H53 2000
1392,"Craig, R. R.",Mecánica de materiales,Cecsa,2002,TA405 C7318 2002
1393,"MOTT, Robert",Resistencia de materiales aplicada,3 era.,1996,TA405 M6918 1996
1394,"RAPIN, Pierre J.",Instalaciones frigoríficas. Tomo 2,Alfaomega,1999,TP492.5 R36 1999
1395,"GUILLET, George Leroy",Cinemática de las máquinas,Cecsa,1970,TJ175 G818 1970
1396,"DUMON, Roger",Las bombas de calor,Toray Masson,1981,HT7638 D84 1981
1397,"POPOV, Egor Paul",Mécanica de sólidos,"Pearson Educación,",2000,TA405 P6418
1398,"WHITE, Frank M.",Fluid Mechanics,Mc. Graw Hill,2003,TA357 W48 2003
1399,Academia mexicana de ciencia de materiales,Congreso nacional en ciencia de materiales 1992,,,TA401.3 C67 1992
1400,"LENZ DEL RIO, Albert",Química orgánica elemental,Patria,1983,QD253 L49 1983
1401,"SOLOMONS, Twg",Química orgánica,Limusa,1987,QD31.3 C4418 1987
1402,"PHILLIPS, John",Chemistry: concepts and applications,Mc Graw Hill,1997,QD31.2 P48 1997
1403,"DEVORE, G.",Química orgánica,Publicaciones culturales,1994,QD251 D47 1994
1404,"DINGRANDO, Lauerel",Química: materia y cambio,Mc Graw Hill,2002,QD31.3 C4418 2002
1405,"Recio del Bosque, F. H.",Química inorgánica,Mc Graw Hill,1995,QD151.2 R43 1995
1406,"RECIO DEL BOSQUE, Francisco Higinio",Química orgánica,Mc Graw Hill,1995,QD151 R43 1995
1407,"RANGEL CHARLES, Juan Antonio",Derecho de los negocios,,,K1005.4 R35 2002
1408,"PEREZNITO CASTRO, Leonel",Derecho Internacional Privado,Oxford,1999,K302 P47 1999
1409,"TENA RAMÍREZ, Felipe",Derecho constitucional méxicano,Porrúa,1970,KGF2921 T45 1970
1410,"BRAVO GONZALEZ, Agustín",Primer curso de derecho romano,Paxx México,1979,KJA2512 B73 1979
1411,"GOMEZ LARA, Cipriano",Teoría general del proceso,UNAM,1980,K147 G64 1980
1412,"HUGHES, Hallet Deborah",Cálculo,"Compañía editorial
continental",1995,QA303 C3318 1995
1413,"Martínez  Gallardo,  V.  M.,  F.  G. Sevilla  Díaz. Y  J. A.
Oaxaca Luna",Teoría de funciones. Matemáticas activas,Just Time  Press,1997,QA331.3 M377 1997
1414,"EDWARDS, Charles Henry",Ecuaciones diferenciales elementales,Prentice Hall,1986,QA371 E3818
1415,"CUEVA, Benjamín de la",Matemáticas financieras,Porrúa,1982,HF5691 C83 1982
1416,"LAWRENCE, John A.",Ciencias administrativas aplicadas,Grupo Patria cultural,2004,HD30.25 L3818 2004
1417,"CHÁVEZ PÉREZ, Fidel",Redacción avanzada,Adison Wesley Longman,1998,PC4420 C43 1998
1418,"Wilson, J. D.",Física,Pearson educación,2003,QC21.2 W54618 2003
1419,"Pérez Montiel, H.",Física general,Grupo Patria cultural,2000,QC21.2 P458 2000
1420,AGENCIA PROMOTORA DE REVISTAS,Biblioteca práctica de la lengua: gramática básica 2,Milenio,2002,PC4591 B53 2002 V.6
1421,"PALACIOS SIERRA, Margarita",Leer para pensar: búsqueda y análisis de información,pearson educación,1995,LB1050 P35 1995
1422,"PARKIN, Michael",Microenomics,Addison Wesley,2005,HB172.5 P36 2005
1423,ACADEMIA DE LA INVESTIGACIÓN CIENTIFICA,"Olimpiadas de quimica: problemas para tu mejor
preparación","SISTEMAS TÉCNICOS DE
EDICIÓN",1994,QD1 O55 1994
1424,"FULLER, Gordon",,Addison Wesley,1992,QA551 F8 1992
1425,"VILLASEÑOR CONTRERAS, Alberto, {et. Al}",Manual de Lean Manufacturing. Guía Básica,Limusa,2007,TS155 V56 2007
1426,"Schmelkes, C., N. Elizondo Schmelkes",Manual para la presentación de anteproyectos e informes de investigación ( tesis),Oxford,1998,LB2369 S35 1998
1427,"TORRES SALINAS, Aldo","Contabilidad  de costos. Análisis para la toma de
decisiones",Mc Graw Hill,2002,HF5686.C8 T67 2002
1428,"MORRIS G, Charles",Introducción a la Psicología,Prentice Hall,1997,BF121 M6518 1997
1429,"ROSAS Y NOVELO, Ma. De Lourdes",La ciencia y el Método experimental,UNAM,,Q175 R6319 1992
1430,"GONZALEZ NÚÑEZ, José de Jesús",Dinámica de grupos. Tecnicas y tácticas,Pax,1979,HM133 G68 1979
1431,"PIGORS, Paul.[et. Al]",Administración de personal,Continental,1977,HF5549 .P44 1977
1432,SMITH. Barry. [ et. Al],El ABC de la capacitación práctica,McGrawHill,1987,HF5549.5 S5518 1987
1433,"Guízar Montúfar, R.",Desarrollo organizacional,Mc. Graw hill,2010,HD58.8 G84 2004
1434,"Crosby, P. B.",La calidad no cuesta. El arte de cerciorarse de la calidad,Grupo patria cultural,2000,HD58 G969 2000
1435,MADRIGAL TORRES Berta Ermila,Liderazgo  Enseñanza y aprendizaje,McGrawHill,2005,HD57.7 M333 2005
1436,"CANADA R, John","Técnicas de análisis económico para administradores e
ingenieros",Diana,1979,HG4028 C34 1979
1437,"ETTENBERG, Elliot",The next economy,McGrawHill,2002,HD30.23 S77 2002
1438,"MORFIN HIERRO, Jorge",Consultoria para el cambio dentro y fuera de la empresa,Gernika,1993,HD69.C6 M67 1993
1439,"MEYER, Jean",Objetivos y estrategias de la empresa,Deusto,1972,HF5550 M49 1972
1440,"PYTEL Andrew, [et. al]","Resistencia de materiales. Introducción a la mecánica de
solidos",Harla,1987,TA405 P97 1987
1441,"KUEHL O, Robert",Diseño de exprimentos,Thomson,2001,Q182.3 K8418 2001
1442,"VELAZQUEZ MASTRETTA, Gustavo",Administración de los sistemas de producción,Limusa,2006,HD37 V44 2006
1443,"GALICIA SANCHEZ, Roberto.",Metrología geométrica dimensional,AGT Editor,2003,T50 M47 2003
1444,"FRAGA, Gabino",Derecho Administrativo,Porrúa,2000,KGF3230 F73 2000
1445,"Rodríguez Lobato, R.",Derecho Fiscal,Oxford,1998,KGF4550 R63 1998
1446,"VILLASEÑOR CONTRERAS, Alberto, {et. Al}",Conceptos y reglas de Lean Manufacturing,Limusa,2007,TS155 V55 2007
1447,"GUTIERREZ PULIDO, Humberto.",Control estadístico de la calidad y seis sigma,McGrawHill,2004,TS156 G885 2004
